ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,ZA,#country+name,#date+year,#survey+id,#indicator+code,250162140,I,1000,0,Total,Total,#indicator+label+code,#indicator+label,1,1,WSSRCEHBOT,NA,2016,DHS,24726,25086,NA,NA,NA
ZAF,795195,Households using an improved water source,86.3,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_H_IMP,250161010,I,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEHIMP,NA,1998,DHS,12247,12247,NA,NA,NA
ZAF,795196,Households using water piped into dwelling,38.9,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_H_PIP,250161020,I,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEHPIP,NA,1998,DHS,12247,12247,NA,NA,NA
ZAF,795198,Households using a public tap/standpipe,19.5,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_H_TAP,250161030,I,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEHTAP,NA,1998,DHS,12247,12247,NA,NA,NA
ZAF,795199,Households using a tubewell/borehole,3,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_H_TUB,250161040,I,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEHTUB,NA,1998,DHS,12247,12247,NA,NA,NA
ZAF,795212,Households using rainwater,0.7,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_H_RNW,250161070,I,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEHRNW,NA,1998,DHS,12247,12247,NA,NA,NA
ZAF,795201,Households using tanker truck,1,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_H_TNK,250161074,I,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEHTNK,NA,1998,DHS,12247,12247,NA,NA,NA
ZAF,795207,Households using bottled water,0.1,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_H_BOT,250161080,I,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEHBOT,NA,1998,DHS,12247,12247,NA,NA,NA
ZAF,795211,Households using an unimproved water source,13.2,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_H_NIM,250161090,I,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEHNIM,NA,1998,DHS,12247,12247,NA,NA,NA
ZAF,795200,Households using surface water,11.8,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_H_SRF,250161130,I,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEHSRF,NA,1998,DHS,12247,12247,NA,NA,NA
ZAF,795202,Households using other water source,1.4,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_H_OTH,250161140,I,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEHOTH,NA,1998,DHS,12247,12247,NA,NA,NA
ZAF,795208,Households with don't know or missing information on water source,0.5,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_H_DKM,250161150,S,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEHDKM,NA,1998,DHS,12247,12247,NA,NA,NA
ZAF,795213,Households: Total,100,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_H_TOT,250161160,T,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEHTOT,NA,1998,DHS,12247,12247,NA,NA,NA
ZAF,795844,Population using an improved water source,83.5,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_P_IMP,250162010,I,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEPIMP,NA,1998,DHS,52007,52465,NA,NA,NA
ZAF,795750,Population using water piped into dwelling,36,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_P_PIP,250162020,I,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEPPIP,NA,1998,DHS,52007,52465,NA,NA,NA
ZAF,795740,Population using a public tap/standpipe,19.3,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_P_TAP,250162030,I,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEPTAP,NA,1998,DHS,52007,52465,NA,NA,NA
ZAF,795756,Population using a tubewell/borehole,3.4,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_P_TUB,250162040,I,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEPTUB,NA,1998,DHS,52007,52465,NA,NA,NA
ZAF,795757,Population using rainwater,0.7,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_P_RNW,250162070,I,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEPRNW,NA,1998,DHS,52007,52465,NA,NA,NA
ZAF,795746,Population using tanker truck,0.9,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_P_TNK,250162074,I,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEPTNK,NA,1998,DHS,52007,52465,NA,NA,NA
ZAF,795741,Population using bottled water/demi john,0.1,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_P_BOT,250162080,I,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEPBOT,NA,1998,DHS,52007,52465,NA,NA,NA
ZAF,795751,Population using an unimproved water source,15.9,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_P_NIM,250162090,I,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEPNIM,NA,1998,DHS,52007,52465,NA,NA,NA
ZAF,795745,Population using surface water,14.4,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_P_SRF,250162130,I,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEPSRF,NA,1998,DHS,52007,52465,NA,NA,NA
ZAF,795747,Population using other water source,1.5,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_P_OTH,250162140,I,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEPOTH,NA,1998,DHS,52007,52465,NA,NA,NA
ZAF,795748,Population with don't know or missing information on water source,0.7,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_P_DKM,250162150,S,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEPDKM,NA,1998,DHS,52007,52465,NA,NA,NA
ZAF,795752,Population: Total,100,1,ZA,South Africa,1998,ZA1998DHS,WS_SRCE_P_TOT,250162160,T,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEPTOT,NA,1998,DHS,52007,52465,NA,NA,NA
ZAF,795209,Households with water on the premises,63.2,1,ZA,South Africa,1998,ZA1998DHS,WS_TIME_H_ONP,250201010,I,1000,0,Total,Total,0,#indicator+label,1,1,WSTIMEHONP,NA,1998,DHS,12247,12247,NA,NA,NA
ZAF,795214,Households with water 30 minutes or less away round trip,28.5,1,ZA,South Africa,1998,ZA1998DHS,WS_TIME_H_L30,250201020,I,1000,0,Total,Total,0,#indicator+label,1,1,WSTIMEHL30,NA,1998,DHS,12247,12247,NA,NA,NA
ZAF,795203,Households with water more than 30 minutes away round trip,6.7,1,ZA,South Africa,1998,ZA1998DHS,WS_TIME_H_M30,250201030,I,1000,0,Total,Total,0,#indicator+label,1,1,WSTIMEHM30,NA,1998,DHS,12247,12247,NA,NA,NA
ZAF,795204,Household with unknown or missing information on round trip time to water,1.6,1,ZA,South Africa,1998,ZA1998DHS,WS_TIME_H_DKM,250201040,S,1000,0,Total,Total,0,#indicator+label,1,1,WSTIMEHDKM,NA,1998,DHS,12247,12247,NA,NA,NA
ZAF,795205,Households: Total,100,1,ZA,South Africa,1998,ZA1998DHS,WS_TIME_H_TOT,250201050,T,1000,0,Total,Total,0,#indicator+label,1,1,WSTIMEHTOT,NA,1998,DHS,12247,12247,NA,NA,NA
ZAF,795742,Population with water on the premises,60.4,1,ZA,South Africa,1998,ZA1998DHS,WS_TIME_P_ONP,250202010,I,1000,0,Total,Total,0,#indicator+label,1,1,WSTIMEPONP,NA,1998,DHS,52007,52465,NA,NA,NA
ZAF,795753,Population with water 30 minutes or less away round trip,29.5,1,ZA,South Africa,1998,ZA1998DHS,WS_TIME_P_L30,250202020,I,1000,0,Total,Total,0,#indicator+label,1,1,WSTIMEPL30,NA,1998,DHS,52007,52465,NA,NA,NA
ZAF,795743,Population with water more than 30 minutes away round trip,8.4,1,ZA,South Africa,1998,ZA1998DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,#indicator+label,1,1,WSTIMEPM30,NA,1998,DHS,52007,52465,NA,NA,NA
ZAF,795758,Population with unknown or missing information on round trip time to water,1.7,1,ZA,South Africa,1998,ZA1998DHS,WS_TIME_P_DKM,250202040,S,1000,0,Total,Total,0,#indicator+label,1,1,WSTIMEPDKM,NA,1998,DHS,52007,52465,NA,NA,NA
ZAF,795759,Population: Total,100,1,ZA,South Africa,1998,ZA1998DHS,WS_TIME_P_TOT,250202050,T,1000,0,Total,Total,0,#indicator+label,1,1,WSTIMEPTOT,NA,1998,DHS,52007,52465,NA,NA,NA
ZAF,795232,Number of households,12247,0,ZA,South Africa,1998,ZA1998DHS,WS_WTRT_H_NUM,250231100,D,1000,0,Total,Total,0,#indicator+label,1,1,WSWTRTHNUM,NA,1998,DHS,24726,12247,NA,NA,NA
ZAF,796539,Number of households (unweighted),12247,0,ZA,South Africa,1998,ZA1998DHS,WS_WTRT_H_UNW,250231110,U,1000,0,Total,Total,0,#indicator+label,1,1,WSWTRTHUNW,NA,1998,DHS,12247,25086,NA,NA,NA
ZAF,795270,Number of persons,52007,0,ZA,South Africa,1998,ZA1998DHS,WS_WTRT_P_NUM,250232100,D,1000,0,Total,Total,0,#indicator+label,1,1,WSWTRTPNUM,NA,1998,DHS,24726,52465,NA,NA,NA
ZAF,796596,Number of persons (unweighted),52465,0,ZA,South Africa,1998,ZA1998DHS,WS_WTRT_P_UNW,250232110,U,1000,0,Total,Total,0,#indicator+label,1,1,WSWTRTPUNW,NA,1998,DHS,52007,25086,NA,NA,NA
ZAF,295311,Households using an improved water source,95.3,1,ZA,South Africa,2016,ZA2016DHS,WS_SRCE_H_IMP,250161010,I,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEHIMP,NA,2016,DHS,11083,11083,NA,NA,NA
ZAF,295317,Households using water piped into dwelling,45.1,1,ZA,South Africa,2016,ZA2016DHS,WS_SRCE_H_PIP,250161020,I,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEHPIP,NA,2016,DHS,11083,11083,NA,NA,NA
ZAF,295319,Households using a public tap/standpipe,14.1,1,ZA,South Africa,2016,ZA2016DHS,WS_SRCE_H_TAP,250161030,I,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEHTAP,NA,2016,DHS,11083,11083,NA,NA,NA
ZAF,295321,Households using a tubewell/borehole,2.8,1,ZA,South Africa,2016,ZA2016DHS,WS_SRCE_H_TUB,250161040,I,1000,0,Total,Total,0,#indicator+label,1,1,WSSRCEHTUB,NA,2016,DHS,11083,11083,NA,NA,NA
